team_base,home_ppg,away_ppg,advantage_strength
Arsenal,2.60,2.17,moderate
Manchester City,2.50,1.40,strong
Chelsea,1.67,2.00,weak
Newcastle United,1.80,0.50,strong
Sunderland,2.00,1.40,moderate
Tottenham,0.83,2.60,strong
Aston Villa,2.17,1.00,strong
Manchester United,2.40,1.00,strong
Liverpool,2.40,1.00,strong
Bournemouth,2.60,0.83,strong
Crystal Palace,1.67,1.40,weak
Brighton,2.20,0.83,strong
Brentford,2.17,0.60,strong
Everton,1.83,0.80,strong
Fulham,2.00,0.17,strong
Leeds United,1.60,0.50,strong
Burnley,1.40,0.50,moderate
West Ham,1.00,0.80,weak
Nottingham Forest,1.17,0.40,moderate
Wolverhampton Wanderers,0.20,0.17,weak
Inter,2.50,1.80,moderate
AS Roma,2.00,2.40,weak
AC Milan,2.17,1.80,moderate
Napoli,2.60,1.50,strong
Bologna,2.60,1.33,strong
Juventus,2.00,1.40,moderate
Como,2.00,1.20,moderate
Sassuolo,1.20,1.67,weak
Lazio,2.00,0.83,strong
Udinese,1.60,1.17,moderate
Cremonese,1.20,1.33,weak
Torino,1.60,1.00,moderate
Atalanta,1.17,1.20,weak
Cagliari,0.80,1.00,weak
Lecce,0.50,1.40,moderate
Pisa,1.00,0.60,moderate
Parma,1.00,0.40,moderate
Genoa,0.50,0.80,weak
Hellas Verona,0.60,0.50,weak
Fiorentina,0.20,0.67,weak
Real Madrid,3.00,2.17,moderate
FC Barcelona,3.00,1.86,strong
Villarreal,2.67,1.67,strong
Atletico Madrid,2.71,1.20,strong
Real Betis,2.00,1.33,moderate
Espanyol,1.86,1.00,moderate
Athletic Bilbao,1.86,0.80,strong
Getafe,1.60,1.29,weak
Sevilla,1.17,1.50,weak
Alaves,1.83,0.67,strong
Elche,2.00,0.50,strong
Rayo Vallecano,1.20,1.29,weak
Celta Vigo,0.71,1.60,moderate
Real Sociedad,1.67,0.50,strong
Mallorca,1.50,0.50,strong
Osasuna,2.00,0.14,strong
Valencia,1.33,0.33,strong
Girona,1.14,0.40,moderate
Levante,0.20,1.14,moderate
Real Oviedo,0.67,0.67,weak
Paris Saint Germain,2.60,2.00,moderate
Marseille,2.67,1.50,strong
Lens,2.50,1.67,moderate
Strasbourg,2.50,1.17,strong
Lille,2.17,1.17,strong
Monaco,1.86,1.40,moderate
Lyon,2.00,1.33,moderate
Rennes,1.83,1.17,moderate
Nice,2.17,0.67,strong
Toulouse,1.50,1.17,moderate
Paris FC,1.17,1.17,weak
Le Havre,1.50,0.83,moderate
Angers,1.83,0.33,strong
Metz,1.33,0.50,moderate
Brest,1.00,0.67,moderate
Nantes,0.67,1.00,weak
Lorient,1.50,0.17,strong
Auxerre,1.00,0.17,moderate
Bayern Munich,3.00,2.60,moderate
RB Leipzig,3.00,1.67,strong
Borussia Dortmund,2.50,1.83,moderate
VfB Stuttgart,3.00,1.20,strong
Bayer Leverkusen,2.17,1.75,moderate
Hoffenheim,1.20,2.60,strong
Eintracht Frankfurt,1.80,1.60,weak
Werder Bremen,2.00,1.00,strong
FC Cologne,1.75,1.17,moderate
Freiburg,1.60,1.00,moderate
Union Berlin,1.50,0.75,moderate
Borussia Monchengladbach,0.83,1.00,weak
Hamburger SV,1.40,0.40,strong
Wolfsburg,0.40,1.20,moderate
FC Augsburg,0.60,0.80,weak
Sankt Pauli,0.80,0.60,weak
Mainz,0.20,0.80,moderate
FC Heidenheim,1.00,0.00,strong
Krasnodar,2.25,2.14,weak
CSKA Moscow,2.75,1.57,strong
Zenit St. Petersburg,2.71,1.38,strong
Lokomotiv Moscow,2.43,1.63,moderate
Baltika,1.86,1.88,weak
Spartak Moscow,2.13,1.14,moderate
Rubin Kazan,1.75,0.86,moderate
Akron Tolyatti,0.71,1.63,moderate
Rostov,1.29,1.13,weak
Dinamo Moscow,1.13,1.14,weak
Akhmat Grozny,1.43,0.75,moderate
Krylya Sovetov,1.29,0.63,moderate
Dynamo Makhachkala,1.50,0.29,strong
Orenburg,0.88,0.57,weak
Nizhny Novgorod,1.00,0.00,strong
Sochi,0.57,0.50,weak
