
team_key,league,last_5_xg_total,last_5_xga_total,form_trend,location
Arsenal Home,Premier League,10.25,1.75,0.08,home
Arsenal Away,Premier League,8.48,3.78,0.08,away
Manchester City Home,Premier League,11.44,5.00,0.15,home
Manchester City Away,Premier League,8.02,4.98,0.15,away
Liverpool Home,Premier League,7.95,5.75,0.10,home
Liverpool Away,Premier League,10.72,10.17,0.10,away
Brighton Home,Premier League,8.55,5.87,0.03,home
Brighton Away,Premier League,7.52,7.60,0.03,away
Fulham Home,Premier League,6.73,5.49,0.04,home
Fulham Away,Premier League,4.96,9.34,0.04,away
Brentford Home,Premier League,9.06,7.18,-0.05,home
Brentford Away,Premier League,7.88,5.85,-0.05,away
Aston Villa Home,Premier League,5.47,6.82,0.10,home
Aston Villa Away,Premier League,3.06,6.95,0.10,away
Crystal Palace Home,Premier League,11.69,7.65,-0.08,home
Crystal Palace Away,Premier League,8.50,6.04,-0.08,away
Newcastle United Home,Premier League,10.48,4.95,0.03,home
Newcastle United Away,Premier League,3.66,3.82,0.03,away
Everton Home,Premier League,8.15,7.49,0.02,home
Everton Away,Premier League,5.24,8.05,0.02,away
Burnley Home,Premier League,3.50,9.59,-0.15,home
Burnley Away,Premier League,4.62,13.54,-0.15,away
Chelsea Home,Premier League,8.28,7.86,0.06,home
Chelsea Away,Premier League,11.08,5.70,0.06,away
Tottenham Home,Premier League,4.63,7.71,-0.02,home
Tottenham Away,Premier League,6.77,5.23,-0.02,away
Nottingham Forest Home,Premier League,7.50,8.98,-0.10,home
Nottingham Forest Away,Premier League,3.10,9.60,-0.10,away
West Ham Home,Premier League,3.91,11.79,-0.08,home
West Ham Away,Premier League,4.93,7.63,-0.08,away
Sunderland Home,Premier League,5.44,4.63,0.06,home
Sunderland Away,Premier League,5.77,7.33,0.06,away
Leeds Home,Premier League,8.81,3.23,0.02,home
Leeds Away,Premier League,4.13,8.59,0.02,away
Wolverhampton Wanderers Home,Premier League,5.98,7.73,0.01,home
Wolverhampton Wanderers Away,Premier League,2.80,6.73,0.01,away
Bournemouth Home,Premier League,5.77,2.30,0.12,home
Bournemouth Away,Premier League,7.70,11.60,0.12,away
Real Madrid Home,La Liga,15.97,4.09,0.11,home
Real Madrid Away,La Liga,11.60,8.51,0.11,away
Villarreal Home,La Liga,14.71,6.50,0.13,home
Villarreal Away,La Liga,7.62,8.19,0.13,away
Atletico Madrid Home,La Liga,16.16,4.99,0.09,home
Atletico Madrid Away,La Liga,5.93,6.41,0.09,away
FC Barcelona Home,La Liga,14.66,3.54,0.07,home
